Code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,Y2
19732146,2.2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,2,1.8,2.6,2.2,2.4,2.8,2.2,2.4,3.2,2.4,2.4,3,2.8,2.8,2.8,1.6,2,1.6,2.2,2.6,2.4,2,2.2,1.8,2.6,1.8,2.4,1.6,1.8,2,1.8,1.8,1.6,2.4,1.8,2,1.8,2,2,2,2.6,2.2,2.2,2.2,2.4,2.4,2.2,2,2,2.2,2,2.2,2.4,2.2,2,1.8,2.2,2.2,2.4,1.6,1.8,2,2.2,1.8,1.8,2.6,2.4,2,2,1.8,2,2.2,2.2,2,2,2.4,2.2,2,2.6,2.4,2.8,2.2,2.4,2.2,2.4,2.4,2,2.4,2.4,2.6,2.6,2.4,2.4,2.6,2.2,2.6,2.4,2.2,2.2,2.2,2.4,2.4,2.4,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,0
19740064,2.571428571,2.428571429,1.857142857,3.142857143,3.571428571,3.714285714,2.857142857,3.571428571,2.714285714,3.142857143,3.285714286,2.714285714,3.285714286,2.714285714,3.571428571,2.857142857,2.285714286,3.142857143,3.571428571,3.142857143,3.428571429,2.571428571,3.285714286,3.571428571,3.571428571,3.571428571,2.714285714,1.857142857,2.857142857,2.857142857,2.571428571,3,2.714285714,3.571428571,3.285714286,2.857142857,3.857142857,1.714285714,2.428571429,2.285714286,2.142857143,2.428571429,2,2.142857143,2.428571429,2.571428571,3,3.142857143,2.857142857,3,2.857142857,2.571428571,2.857142857,2.857142857,2.428571429,3.142857143,3,2.428571429,2.714285714,2.857142857,2.571428571,2.571428571,3.285714286,2.714285714,2.428571429,3,2.714285714,2.714285714,2.857142857,2.857142857,3,3.285714286,3.142857143,2.714285714,2.857142857,3.428571429,3,3.142857143,2.428571429,2.857142857,2.857142857,2.857142857,3.142857143,3,2.857142857,3.285714286,3.142857143,3.285714286,3.285714286,3,2.857142857,3,3.142857143,2.428571429,2.857142857,2.857142857,3.428571429,3.142857143,3.285714286,3.285714286,2.857142857,2.428571429,3.142857143,2.428571429,2.857142857,2.714285714,2.428571429,2.714285714,3,2.428571429,3,2.428571429,2.428571429,2.428571429,3.142857143,2.714285714,3,2.714285714,2.857142857,2.571428571,2.857142857,2.714285714,2.714285714,2.714285714,2.857142857,2.571428571,2.857142857,2.714285714,2.857142857,2.714285714,2.571428571,2.714285714,2.857142857,3,2.714285714,2.714285714,2.571428571,2.714285714,2.714285714,2.714285714,2.857142857,3,3,2.714285714,3,2.714285714,3.142857143,0
19750187,1.571428571,1.857142857,2.142857143,2.571428571,2.714285714,2.428571429,2.571428571,2.571428571,2.714285714,2.571428571,2.142857143,2.571428571,2.571428571,2.428571429,3.142857143,2.428571429,2.571428571,2.857142857,2.571428571,2.571428571,2.285714286,2.714285714,2.714285714,2.714285714,3,3.428571429,3.285714286,1.857142857,2,1.857142857,2.285714286,2.714285714,2.714285714,2.571428571,2.714285714,2.571428571,2.857142857,2,2,2.285714286,2.142857143,2.857142857,1.714285714,2.142857143,1.714285714,2.571428571,2.857142857,2.571428571,2.714285714,2.714285714,2.285714286,2.428571429,2.571428571,2.428571429,2.428571429,2.714285714,2.857142857,2.714285714,3.142857143,2.714285714,3.142857143,2.714285714,2.857142857,3,2.285714286,2.571428571,2.857142857,2.714285714,3.285714286,2.571428571,2.857142857,2.428571429,2.714285714,3,3.142857143,2.857142857,3,3.142857143,3.285714286,2.714285714,2.571428571,2.714285714,2.857142857,2.714285714,3,3,2.714285714,2.857142857,2.857142857,2.857142857,3.285714286,3.285714286,2.857142857,3.285714286,3,2.571428571,3,3.142857143,2.714285714,3.285714286,2.857142857,3.142857143,3,3.142857143,3.142857143,3.285714286,2.857142857,3,3.428571429,3.428571429,3,2.857142857,3,2.714285714,2.857142857,3,2.714285714,3.142857143,3,3,2.714285714,2.714285714,3.142857143,2.857142857,2.857142857,2.714285714,2.714285714,3,3,3.142857143,3,3,3,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,3.142857143,3,2.857142857,2.857142857,2.857142857,2.714285714,3,3.142857143,3,0
19820210,2,2,3,4,3.25,3.75,3.75,3.25,4.75,3.25,4.25,3.5,3,4.25,2.5,3.5,3,3.25,2.75,2.75,2.75,3,3.5,3.75,3,4.25,3.5,2,3,3,2.5,3.25,3.25,4,3.75,3.75,3.25,2.75,2.25,3.25,1,2.5,2,3,2.5,1.75,3.25,2.75,3.5,3.75,3.5,4.25,3.75,3,4,3.5,3.5,3.25,3.25,3.25,2.75,3.25,3,4.5,3.75,3.75,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4.25,3.75,3.75,4.75,4.25,3.75,4.25,4.5,4,3.5,4.25,4,3.75,3.5,4.25,4,3.75,4.25,3.5,3.75,3.5,4,4,3.75,3,3.25,4,3.5,3,3.75,4.5,4.25,4.25,4,3.75,4.75,4.25,4.25,4,4.25,4,4.25,4.75,4.5,4.5,4,4.25,4.5,4.5,4.75,4.5,4.25,4.5,4.25,4.75,4.5,4.75,4.5,4.5,4.25,4.25,4.5,4.5,4.75,4.5,4.25,4,4.75,5,4.75,4.25,4.25,4.75,0
19821246,2,2,2,2,2,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,3,1,1,1,2,2,1,1,2,1,1,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
19831126,3,2.333333333,2.5,3.166666667,3.333333333,3.5,3.333333333,2.666666667,3.166666667,2.833333333,3.833333333,3.166666667,3.666666667,2.833333333,2.166666667,2.5,2.666666667,2.166666667,2.666666667,2.833333333,2.833333333,2.666666667,3.5,3.333333333,3.666666667,3.666666667,2.833333333,1.666666667,2.666666667,2.666666667,3,2.5,2.333333333,2.833333333,3.166666667,3.333333333,3.666666667,2,2.5,2.666666667,1.833333333,2.666666667,1.833333333,1.833333333,1.333333333,2.166666667,2.333333333,2.333333333,2.666666667,2.5,2.666666667,2.5,2.333333333,2.166666667,2.833333333,2.5,2.333333333,2.666666667,2.333333333,3,2.333333333,2.5,2.666666667,2.666666667,3.333333333,2.833333333,2.5,2.166666667,2.333333333,2.666666667,3,2.666666667,2.833333333,2.833333333,2.666666667,3,3.166666667,3,3.333333333,2.5,3.166666667,3,3,2.666666667,2.666666667,2.833333333,3,2.333333333,2.666666667,2.5,2.833333333,3,3,2,2.5,2.833333333,2.833333333,2.666666667,2.5,2.666666667,2.833333333,2.833333333,2.833333333,2.333333333,3,2.666666667,2.666666667,2.833333333,2.5,2.333333333,2.666666667,2.5,2.666666667,2.5,2.333333333,2.666666667,2.666666667,2.666666667,2.333333333,2.5,2.666666667,2.5,2.333333333,2.333333333,2.5,2.5,2.333333333,2.666666667,2.5,2.5,2.333333333,2.333333333,2.666666667,2.333333333,2.666666667,2.333333333,2.5,2.5,2.5,2.666666667,2.333333333,2.5,2.5,2.333333333,2.5,2.5,2.833333333,2
19840214,2.5,2.5,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,3.5,3,2.5,3.5,3.5,2,3,3,3.5,3,2.5,3,3.5,4,3.5,4,3.5,3,4.5,3.5,4.5,3,3.5,4,1.5,2,1.5,2,2,3,3,2.5,2,3,2.5,2,2.5,2,2,2,2,2,2,2.5,2,2,2.5,2,2,2.5,2.5,2,2,2.5,2,2,2,2.5,2,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2,2,2.5,2,2,2,2,2.5,2.5,2,2,2,2.5,2,2,2,2,2.5,2,2.5,2,2.5,2,2,2,2.5,2,2,2,2,2,2,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
19856117,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.5,2.5,3.5,2.5,3.5,2.5,3,3,3.5,2.5,3.5,3,2.5,4,3,2.5,2.5,3,4,3.5,5,4,2,2.5,2,2.5,1.5,3,1.5,1,1.5,2,2,2,3,2,2,2,2.5,2,2,2.5,2.5,2.5,2,2,3,2.5,2.5,2,3,2.5,2,2.5,2,2,2.5,2.5,2.5,2,2.5,2.5,2,2,2,2.5,2.5,2,2.5,2,2.5,2.5,2.5,2.5,2,2,2,2.5,3,2.5,2.5,2,2.5,2,3,2,2,2.5,2,2.5,2,2,2.5,2,2.5,2.5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
19860266,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,3,3,2,3,3,3,5,5,5,3,3,4,4,4,4,4,4,3,3,2,2,3,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,3,3,3,2,2,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
19880050,1.571428571,2,2,2.571428571,2.857142857,3.428571429,2.857142857,3.428571429,2.857142857,3,2.714285714,2.714285714,3.142857143,2.714285714,2.285714286,2.428571429,2.428571429,2.571428571,2.571428571,2.428571429,2.571428571,2.714285714,3.285714286,3.571428571,3.428571429,3.571428571,3.285714286,2.142857143,2.714285714,2.571428571,2.571428571,2.714285714,2.571428571,3.142857143,3.142857143,3.571428571,3.571428571,2.142857143,2.428571429,2.285714286,2.285714286,2.714285714,1.571428571,2.285714286,2.428571429,1.714285714,2.714285714,2.571428571,2.285714286,3,2.571428571,3.142857143,2.571428571,2.714285714,2.857142857,2.571428571,2.714285714,3,3,2.714285714,2.571428571,2.714285714,2.714285714,2.142857143,2.428571429,2.714285714,3,2.857142857,2.285714286,2.714285714,3,3.142857143,2.571428571,2.857142857,2.857142857,3.142857143,2.285714286,2.714285714,2.571428571,2.571428571,2.571428571,3,2.571428571,2.428571429,2.428571429,2.714285714,2.714285714,2.714285714,2.857142857,3,3,2.857142857,2.714285714,2.857142857,2.714285714,3.142857143,2.857142857,2.857142857,3,3.142857143,2.428571429,2.571428571,2.857142857,3,3.142857143,3.285714286,2.857142857,3.571428571,3.142857143,3.142857143,2.857142857,2.571428571,3.428571429,2.571428571,3,3,3,3.142857143,3,3.142857143,3,3,3,3,3,3.142857143,3,3.142857143,3,3.285714286,2.857142857,3.142857143,3,3.142857143,3,3,3.285714286,3.142857143,3.142857143,3.285714286,3,3.142857143,3.142857143,3.142857143,3,3.142857143,3.285714286,0
